,title,link
0,OpeninApp,https://www.youtube.com/c/OpeninApp
1,Urjita Wani - YouTube,https://www.youtube.com/channel/UC4GdDkyuNzjnJTB-nQuLNSQ
2,Urjita Wani - YouTube,https://www.youtube.com/channel/UC4GdDkyuNzjnJTB-nQuLNSQ
3,Reality Of Dubai Trip| #finance #shorts - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
4,"OpeninApp, Creator ke liye- Ensure High Ad Revenue ...",https://www.youtube.com/channel/UCIGDcUqL2kKMdJCpIr_dfxg
5,Sign in - YouTube,https://www.youtube.com/channel/UCvXvWJfWqD5DdWdnyYF6zkw
6,Option TRADING को Lottery मत समझो #stockmarket - YouTube,https://www.youtube.com/channel/UCp1p92dYtC6cINJ4rSwJEXw
7,Thecrazysk,https://www.youtube.com/c/TheCrazySk
8,oedro - YouTube,https://www.youtube.com/channel/UCJ2Hexjg59NLlFZAodX6eWg
9,Sign in - YouTube,https://www.youtube.com/channel/UCs7s_GU4POReXU1wkNZJRrQ
10,Trading with Groww,https://www.youtube.com/c/TradingwithGroww?app=desktop
11,Urjita Wani - YouTube,https://www.youtube.com/channel/UC4GdDkyuNzjnJTB-nQuLNSQ
12,Option buying jackpot strategy | VP Financials - YouTube,https://www.youtube.com/channel/UCSyhu4VGGxWhsqDxqnsG7vw
13,oedro - YouTube,https://www.youtube.com/channel/UCJ2Hexjg59NLlFZAodX6eWg
14,Ab Dukan Mast Lag Raha - YouTube,https://www.youtube.com/channel/UCGLqsJQFlRKkJHOOiFR68_g
15,Asma Khanam - YouTube,https://www.youtube.com/channel/UCdX_KVt0S-B0wvVCPHwmRwg
16,अब से Trading में Loss नहीं होगा! | VP Financials - YouTube,https://www.youtube.com/channel/UCSyhu4VGGxWhsqDxqnsG7vw
17,Dance To Dance - YouTube,https://www.youtube.com/channel/UCQjKykVcd4exsP9CB6xRbUg
18,oedro - YouTube,https://www.youtube.com/channel/UCJ2Hexjg59NLlFZAodX6eWg
19,Aaj Dusri Ladkiyon Ko Line Marenge - YouTube,https://www.youtube.com/channel/UCGLqsJQFlRKkJHOOiFR68_g
20,1 Lakh per Day Hotel Room #short - YouTube,https://www.youtube.com/channel/UCeEP6GESh2t4-e2132uj3Sg
21,YITAMotor - YouTube,https://www.youtube.com/channel/UCtgru8HUCtjlGuVfgT-aA9A
22,oedro - YouTube,https://www.youtube.com/channel/UCJ2Hexjg59NLlFZAodX6eWg
23,Rev up your Father's Day celebrations with ... - YouTube,https://www.youtube.com/channel/UCtgru8HUCtjlGuVfgT-aA9A
24,YITAMotor - YouTube,https://www.youtube.com/channel/UCtgru8HUCtjlGuVfgT-aA9A
25,₹42 Lakhs Lost | #ytshorts - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
26,Sign in - YouTube,https://www.youtube.com/channel/UC4GdDkyuNzjnJTB-nQuLNSQ
27,Bank Nifty Intraday Profit 2 lakhs+ | VP Financials | 30 June 2023,https://www.youtube.com/channel/UCSyhu4VGGxWhsqDxqnsG7vw
28,Urjita Wani - YouTube,https://www.youtube.com/channel/UC4GdDkyuNzjnJTB-nQuLNSQ
29,Your browser can't play this video. Learn more - YouTube,https://www.youtube.com/channel/UCs7s_GU4POReXU1wkNZJRrQ
30,Lenovo IdeaPad Flex 5i | 2 in 1 Laptop Unboxing & initial ...,https://www.youtube.com/channel/UCb-xXZ7ltTvrh9C6DgB9H-Q
31,Tyre Puncture Scam | #ytshort #finance - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
32,One Move !! Big effects - YouTube,https://www.youtube.com/channel/UCeKEIS_6m0-hMomFr_O54lg
33,Stock Market Secret Indicator Fibonacci Trend Based Extension!,https://www.youtube.com/channel/UCSyhu4VGGxWhsqDxqnsG7vw
34,"Technews 1506 || Android 14, Twitter Blue, realme GT Neo 5 ...",https://www.youtube.com/channel/UCb-xXZ7ltTvrh9C6DgB9H-Q
35,Stock Market ఇంకా పెరగనుందా?SEBI New Rules Impact - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
36,Dont Lift This Call #short #finance - YouTube,https://www.youtube.com/channel/UCeEP6GESh2t4-e2132uj3Sg
37,Don't Use This Petrol & Diesel | #finance #shorts - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
38,He Earned 1800 Crores From Stock Market With This Strategy,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
39,Jyoti Ka Dukan Almost Ready - YouTube,https://www.youtube.com/channel/UCGLqsJQFlRKkJHOOiFR68_g
40,Aryan_Av_vlogs - YouTube,https://www.youtube.com/channel/UCKcK5BgHlr5MTG3zGyYoA1A
41,ఈ Number Plate కోసం మీకు తెలుసా | #finance #shorts - YouTube,https://www.youtube.com/channel/UChBT5TlUeG68PKvJSg6MkqQ
42,Savvy Fernweh,https://www.youtube.com/c/SavvyFernweh
43,"Tech News 1551 || Moto Edge 40, Sanchar Saathi ... - YouTube",https://www.youtube.com/channel/UCb-xXZ7ltTvrh9C6DgB9H-Q
